MOFid,metal,linker,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
YIWBIR_clean,[Zn],[CH0][=Branch1][C][=O][OH0],-3.5377952312471463,2.9487729599,6.2245794224,4.82964,4.23812,4.82964,1.13369,1456.59,1284.82,0.0,0.0,0.5224,0.460795,0.0,Zn,No, 
YIWZOV_clean,[Zn],[C][=N][C][=C][N][Ring1][Branch1][CH0][CH0][CH0][CH0][Branch1][Ring2][CH0][Ring1][Ring2][CH0][N][C][=N][C][=C][Ring1][Branch1],-4.09699090788888,1.0122426547,5.3098898895,5.42004,2.92374,5.41727,1.02919,0.0,0.0,760.753,739.174,0.549,0.533427,0.0,Zn,No, 
YIXZEM_clean,[Cd],[C][=Branch1][C][=O][Branch2][Ring1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][N][=C][N][=C][Ring1][Branch1][OH0],-4.701363033399495,0.3231388981,3.5760813622,8.10881,7.62421,8.10881,1.55257,958.181,617.157,0.0,0.0,0.488,0.314317,0.0,Cd,No, 
YIYHAQ_clean,[Zn],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1],-1.5565977476334412,4.9990122243,7.2561734627,5.13693,3.97105,5.11342,0.982113,1295.69,1319.28,0.0,0.0,0.5422,0.552075,0.0,Zn,Yes,Zn
YOBYAR_clean,[Ni][Zn],[C][=Branch2][Ring2][Branch2][=C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Branch1][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring2][Ring1][C][C][=Branch1][C][=O][OH0][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-3.996276730284272,1.1732610893,15.0408503875,9.69314,7.13433,9.69314,0.65232,2302.34,3529.46,0.0,0.0,0.7484,1.14729,0.0,"Zn,Ni",Yes,"Zn,Ni"
YOBYEV_clean,[Co][Zn],[C][=Branch2][Branch1][Ring1][=C][Branch2][Ring2][#Branch2][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-3.851465209008704,1.4707306794,15.0616462757,9.64125,7.09583,9.64125,0.653616,2314.51,3541.09,0.0,0.0,0.7532,1.15236,0.0,"Zn,Co",Yes,"Zn,Co"
YOCCIE_clean,[Zn],[C][=C][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring2][Ring1][C][C][=Branch1][C][=O][OH0],-2.485759150938675,3.5846438289,4.1573458482,6.8059,5.18062,6.8059,1.41637,1048.63,740.368,38.6647,27.2985,0.5234,0.369537,0.0,Zn,Yes,Zn
YOCDUR_clean,[Zn],[C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Branch2][Ring1][Branch1][C][=C][Ring2][Ring1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-3.889184784456444,1.5021106909,15.07474081,9.69113,7.20147,9.69113,0.660405,2307.63,3494.27,0.0,0.0,0.7614,1.15293,0.0,Zn,Yes,Zn
YOCNAH_clean,[Cu],[C][=Branch1][C][=O][Branch2][Ring1][=Branch2][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][CH0][Branch1][Ring1][O][C][O][C][OH0],-3.1193487270397875,2.0185432961,3.1869214995,6.22868,3.97762,6.13994,1.44635,836.354,578.253,0.0,0.0,0.4804,0.332147,0.0,Cu,Yes,Cu
YODRAM_clean,[Co],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-3.987736591582584,1.220723428,7.8729244753,7.27536,4.86667,7.27536,0.966335,1538.49,1592.09,200.889,207.888,0.6076,0.628767,0.0,Co,Yes,Co
